Stock Symbol,Number of Shares Owned,Average Cost,Current Value,
DXR,8,147.17,129.26,
TRHC,7,113.77,133.66,
FPI,1,86.94,176.36,
KGC,2,171.85,154.66,
MBTF,4,142.58,190.06,
SPAQ,9,150.53,168.51,
DXYN,6,120.15,145.15,
KXI,4,143.17,134.15,
CVIA,7,102.81,104.83,
DRRX,3,109.15,146.81,
ELMD,10,128.02,118.98,
SAIC,6,90.3,121.28,
TCX,3,120.52,196.74,
MPW,1,127.66,193.59,
TRNS,7,146.91,161.18,
MLPC,5,143.99,136.71,
ATGE,6,147.06,145.38,
RBC,3,75.81,113.56,
AEB,8,117.77,104.89,
TBRGU,3,103.79,102.56,
APTX,4,140.88,119.1,
TISI,5,170.76,197.92,
NVFY,3,170.78,143.44,
TNA,7,110.68,196.1,
REEM,7,168.76,168.01,
INF,7,116.9,100.52,
FIVA,10,97.08,172.59,
SNDE,9,85.92,173.4,
DBI,7,145.4,179.7,
BHLB,8,136.74,108.49,
EL,4,111.38,137.9,
FSB,6,168.52,133.66,
VFVA,8,110.46,129.44,
UNIT,4,149.14,128.64,
SWP,5,81.42,122.4,
SRTSW,8,174.88,127.82,
MSEX,1,132.1,149.9,
TDACW,2,171.18,124.35,
HCP,2,150.86,158.27,
YMLI,4,135.43,120.01,
EPP,4,86.08,156.39,
ZNGA,6,155.83,113.43,
FEZ,2,87.02,112.41,
TBLTW,8,161.65,150.08,
BLK,4,95.91,156.5,
FGD,6,98.19,119.91,
HRC,8,100.99,177.01,
PTVCA,1,139.9,173.19,
GTLS,6,115.73,149.05,
IAC,3,171.27,173,
BRK.A,6,98.82,184.08,
SHAG,6,164.27,128.43,
CYH,1,126.9,140.45,
FHN,5,82.49,190.62,
RUSS,3,166.72,111.54,
ORTX,5,100.39,198.25,
NWE,6,98.36,124.24,
EFR,7,173.28,152.66,
RILYZ,8,109.03,156.91,
BRT,5,166.57,116.7,
HY,5,144.13,140.52,
CTRP,5,141.6,193.31,
IHE,8,116.02,108.73,
AIEQ,5,102.86,116.22,
VEDL,8,103.3,171.46,
PAVE,4,160.25,196.85,
APDN,9,100.62,183.74,
VNDA,5,154.49,182.02,
GTS,3,108.58,179.58,
HNGR,4,111.73,171.15,
LRET,5,151.39,103.8,
PSXP,9,138.66,170.4,
RSG,1,90.83,174.95,
ELOX,4,110.5,166.33,
PSMC,9,157.27,194.64,
BWG,7,142.62,143.41,
CRBN,5,162.7,169.03,
LMHA,9,170.54,112.04,
LOVE,1,94.56,145.63,
GLPG,9,139.01,145.88,
PZC,7,136.65,122.27,
TAXF,7,138.34,185.93,
FMB,10,96.86,165.29,
ERIC,5,164.11,100.79,
DO,8,147.59,146.58,
ATEN,4,129.58,114.2,
BOE,5,108.42,101.9,
JMT,9,171,160.96,
FFR,3,79.12,144.04,
AUTO,8,103.31,108.05,
XMLV,6,125.69,169.71,
EEMX,6,88.35,196.57,
KZIA,1,84.94,118.43,
JMLP,2,120,107.54,
CSWCL,1,157.88,143.66,
DSX,1,153.91,198.24,
LC,1,156.88,131.66,
HP,3,165.36,191.18,
FOSL,1,149.4,195.3,
CLRO,5,79.08,123.61,
CORR,1,118.15,174.3,
AMRS,4,79.5,151.18,
CB,3,153.83,124.64,
TD,6,93.44,169.65,
FIYY,2,97.37,116.05,
BFK,10,147.87,158.48,
GS,6,76.1,140.36,
PAA,2,106.22,194.24,
IHDG,2,124.35,132.17,
EOT,3,122.99,199.77,
EUO,6,93.21,142.92,
VIAV,7,133.14,110.95,
GLACW,7,133.16,189.78,
GNUS,1,115.13,171.74,
BABA,8,168.17,194.11,
TVE,3,164.86,166.99,
RAAX,4,123.32,168.09,
BCACW,2,76.95,162.83,
HEP,9,121.77,175.7,
PGAL,6,125.41,123.7,
FLC,3,152.66,105.43,
WMC,7,117.74,127.1,
DAX,4,134,148.78,
IBDO,4,138.43,152.44,
MBUU,9,112.5,145.61,
GOAU,10,166.15,198.99,
CAKE,1,141.8,110.83,
VRP,2,157.81,176.31,
DIA,8,131.59,186.6,
PXSG,8,101.06,137.01,
DGAZ,10,170.3,114.67,
JBLU,4,82.47,157.42,
NMFX,6,132.62,116.42,
AKP,4,172.56,179.85,
CBAY,8,84.24,180.88,
DMRS,9,153.55,135.55,
VRCA,1,153.38,102.35,
BSJL,4,121.29,185.16,
AIHS,5,79.08,105.28,
KOS,5,149.06,131.34,
LANDP,8,169.77,126.65,
EMLP,6,95.92,197.64,
MZZ,8,149.17,155.26,
FBIO,2,151.21,116.34,
PUYI,8,105.68,125.58,
NAK,8,169.29,167.66,
PNC,3,131.89,109.56,
APWC,8,168.84,155.85,
AGFS,6,82.11,123.46,
BFY,4,81.97,161.04,
SMP,1,118.85,155.81,
PT,6,170.4,176.74,
ROM,2,142.89,114.43,
IHC,8,131.8,190.64,
FOVL,3,164.09,184.85,
YGYI,3,77.26,142.66,
MELI,1,89.5,163.07,
HTFA,7,140.57,156.91,
XKII,5,140.33,127.54,
JDIV,1,108.88,134.52,
WWD,5,108.78,141.89,
WBIA,8,98.85,100.81,
SSKN,4,86.56,168.7,
FIVG,8,93.06,189.02,
CYAD,4,152.38,178.12,
ADVM,1,164.32,143.9,
MUNI,7,143.93,158.41,
KBWR,4,96.61,123.98,
FENG,8,105.15,152.83,
EQIX,4,137.15,150.24,
SPHQ,6,93.71,147.54,
NXST,7,169.61,171.4,
WOOD,8,122.24,182.96,
ESBA,10,152.83,101.02,
FFC,3,174.07,141.92,
JBT,7,143.67,194.77,
RING,7,155.94,163.7,
QCRH,8,94.79,185.31,
FTSV,9,154.08,178.99,
APA,4,140.92,141.14,
CHFC,8,125.79,123.38,
SHIP,3,152.56,117.99,
ERSX,5,143.65,128.75,
KOLD,3,166.97,106.59,
MGTA,8,79.31,105.66,
FWDB,10,169.77,137.85,
CTL,7,104.13,182.31,
LB,9,160.43,102.11,
EXFO,3,140.71,181.19,
ISRG,2,100.86,110.63,
VNCE,8,111.26,161.43,
GV,8,169.2,102.51,
TWLVU,7,98.54,171.16,
ERX,5,174.36,126.65,
SPXV,4,114.73,130.96,
DEI,2,160.55,125.73,
DTH,7,101.13,118.39,
FID,1,168.94,103.82,
KZR,2,122.06,133.05,
FYC,3,154.17,122.43,
CORN,7,154.46,158.69,
ESXB,2,78.14,152.89,
LPCN,3,83.32,139.95,
RMBL,1,117.26,139.32,
CMCT,7,121.31,142.57,
HBIO,3,131.02,191.64,
INDL,9,142.11,181.3,
AEIS,8,135.51,175.24,
GGM,2,94.54,122.3,
OGCP,9,98.28,164.99,
PICO,2,112.66,144.45,
COP,2,88.47,111.11,
PNI,3,130.31,119.44,
PMT,9,143.32,125.22,
AYI,3,82.98,171.54,
HASI,2,117.12,191.08,
MAGA,9,77,121.71,
CJNK,9,118.79,145.74,
CMT,3,164.4,165.28,
RCUS,3,106.58,152.09,
TANNL,4,134.72,189.75,
GYLD,9,121.55,166.75,
GRFS,1,161.27,122.06,
OBOR,7,104.47,190.38,
UJUL,9,86.99,161.88,
AMC,5,139.13,167.53,
CDNS,6,82.91,169.53,
TGS,7,107.99,176.85,
ARDS,4,108.31,166.25,
EMQQ,2,94.45,161.36,
VSGX,3,145.58,121.08,
DOW,9,104.68,167.63,
TBI,6,174.9,117.42,
WBIG,2,164.56,146.9,
NEA,3,142.97,122.41,
DNBF,3,156.43,186.54,
BBSA,6,160.98,157.97,
XINA,2,150.77,190.96,
TCBIP,7,86.3,187.79,
TLH,4,150.63,170.76,
TSS,10,167.06,141.34,
LAC,10,136.76,134.55,
MAGS,5,173.21,134.45,
IONS,10,95.24,187.54,
DRUA,10,171.18,155.51,
LFUS,3,109.01,100.46,
CETXP,10,77.88,186.45,
HLIT,7,79.81,162.22,
SBLK,6,158.59,173.52,
CYTK,7,103.63,149.15,
RFV,4,173.54,104.73,
BRAC,10,128.06,166.49,
ENDP,5,150.2,164.7,
JAGX,1,116.81,148.47,
NIM,7,166.8,144.65,
INFR,10,166.25,142.18,
CSIQ,6,152.24,145.07,
IOO,1,96.2,113.4,
PRNB,5,158.17,197,
ANDA,9,171.46,125.63,
CC,5,91.99,187.69,
NAVG,8,117.38,140.75,
MR,10,140.85,179.48,
AMBCW,2,98.77,121.29,
ASRV,9,144.23,176.62,
RWO,5,108.72,167.87,
ANDAU,5,137.19,145.11,
RGA,4,152.12,129.83,
CNDT,5,129.26,176.53,
BUI,5,143.45,172.99,
TRMD,10,170.31,189.98,
PPLN,9,101.9,195.88,
GPL,7,99.99,161.73,
APLE,5,126.31,149.02,
SRAX,6,101.09,118.25,
AEH,8,84.05,115.49,
FFWM,5,109.2,177.69,
CCR,8,106.45,154.81,
IP,2,153.59,172.59,
KRO,5,161.25,141.04,
SIC,6,94.54,199.87,
CUB,4,79.05,126.78,
ICCC,4,104.31,151.77,
GRAF,10,172.57,103.08,
ARA,2,162.12,192.7,
ESPR,10,91.82,101.75,
ALQA,9,89.38,199.47,
FRBA,10,132.06,130.93,
JPED,3,168.09,173.04,
EWMC,3,80.65,159.3,
TLK,9,166.2,142.36,
CMLS,9,105.25,109.93,
GTY,7,140.18,102.76,
AN,4,163.89,100.33,
FHL,5,173.11,150.98,
QBAK,5,127.62,131.32,
ESV,2,97.62,145.7,
UZC,2,145.32,102.76,
PACQW,7,174.86,195.85,
CBOE,1,77,101.5,
DOD,3,83.71,192.7,
PLNT,10,90.29,186.47,
KBH,3,123.65,151.66,
IDLB,10,172.3,140.55,
MSBF,5,124.04,102.18,
UCHF,3,168.48,154.8,
AABA,5,141.72,177.43,
HPS,8,114.43,111.27,
ARLP,4,81.59,111.13,
CHEKW,2,85.31,176.66,
DXJ,2,148.34,185.37,
MRTN,5,153.73,100.66,
CAF,2,132.57,149.31,
OCSLL,10,150.66,146.61,
MIXT,8,132.61,159.18,
STL,6,129.05,116.18,
CTAS,9,156.82,182.9,
SOHOO,4,130.29,185.85,
JHMA,1,170.04,155.96,
HCACW,6,105.65,166.28,
CHMA,2,106.29,139.62,
SWX,9,99.63,181.87,
ANDAW,7,142.96,139.44,
FAB,8,101.48,178.63,
MXC,2,100.55,136.24,
EURL,10,165.32,153.81,
SLVP,8,84.9,199.15,
CRVS,9,108.95,154.44,
CF,6,80.75,113.01,
ISEM,3,90.73,143.66,
AAOI,1,77.36,174.95,
DOMO,5,85.85,163.1,
LCI,2,158.51,194.59,
TZACW,8,144.01,121.07,
AMP,1,76.12,146.62,
VNOM,5,130.93,136.94,
DFP,9,138.4,110.37,
JW.A,4,92.3,144.32,
YCL,1,132.06,113.6,
HIPS,2,91.3,192.85,
JP,8,153.3,195.21,
PYS,6,81.96,169.58,
CHNA,8,128.97,116.62,
GFNSL,7,78.94,185.63,
IFEU,4,107.55,150.27,
APLS,8,135.91,169.72,
CRM,5,81.61,196.64,
HOTH,4,162.95,113.95,
JMBS,6,162.25,134.53,
WCC,8,138.08,114.35,
PCRX,3,157.57,192.65,
STAF,5,152.02,163.13,
PBE,5,173.1,117.1,
EZT,7,152.28,184.56,
TYL,2,89.02,180.63,
PRH,1,99.41,105.07,
PLTM,3,146.75,111.68,
OPB,8,131.5,163.15,
MTW,5,97.06,113.92,
VMM,10,103.25,177,
IFN,5,102.3,159.58,
UUU,2,133.04,100.12,
CYBE,5,160.4,198.22,
COCP,7,140.87,175.51,
VEGA,5,170.48,153.05,
AQST,9,77.41,177.46,
KEMX,8,90.53,112.74,
XSHQ,6,163.82,169.24,
HIL,4,114.58,154.82,
RUHN,6,99.87,146.6,
MET,7,163.03,173.9,
UFAB,5,118.84,195.46,
OUSM,7,101.3,180.86,
OTEL,2,164.38,146.73,
CDZI,5,112.03,105.74,
SRCL,2,103.83,108.15,
MLPY,8,100.7,187.2,
IGN,4,172.77,176.03,
NGD,1,108,115.61,
CHRA,5,157.16,104.01,
AMG,5,83.32,192.04,
SSW,5,132.58,199.41,
EIRL,1,81.96,125.71,
HIIQ,10,93.09,115.1,
OTLK,3,79.73,115.65,
MCO,9,82.94,144.48,
MYT,6,127.14,170.18,
RWGE,7,147.59,167.95,
VTIQ,2,100.81,164.48,
LGIH,5,108.86,146.64,
HEWC,8,127.02,118.48,
WTMF,3,155.57,139.58,
GSH,4,143.09,146.54,
PJUL,7,111.48,128.16,
VTGN,9,90.13,196.41,
GES,4,138.03,167.88,
WTT,2,94.09,120.02,
TRWH,2,137.35,156.13,
ALFA,10,83.68,181.95,
DPHCU,8,109.14,179.33,
FCCY,2,138.62,131.35,
SIVB,10,160.14,175.44,
PRTS,10,144.59,107.06,
BLBD,4,118.27,107.06,
CET,2,107.06,122.19,
BBW,4,111.49,185.23,
EVSTC,2,123.93,167.84,
APD,6,170.06,130.19,
SGRY,9,84.15,102.39,
CAJ,6,162.72,136.53,
DHI,1,151.45,163.67,
EXIV,7,158.66,148.81,
TORC,3,105.45,181.92,
EDAP,9,162.31,125.2,
BHF,6,147.32,120.78,
CCNE,7,128.75,120.79,
PSC,2,141.58,169.72,
WK,6,174.43,128.31,
AXNX,7,126.94,137.46,
ERI,8,124.91,188.71,
OLO,2,102.22,165.16,
NVTR,9,110.88,112.35,
XNCR,3,122.02,106.32,
CUBA,7,76.71,193.63,
HOV,7,101.98,165.96,
SO,5,149.44,183.23,
DYLS,5,109.18,149.82,
IDMO,9,173.23,112.77,
HPE,10,94.52,164.71,
WEA,9,118.19,178.15,
SOXL,10,78.4,105.37,
BLDR,8,165.81,104.77,
GDOT,3,165.55,151.79,
DS,6,147.21,117.02,
TCDA,1,117.6,144,
CURO,9,145.24,181.97,
MYL,5,157.2,116.15,
TACO,9,102.41,177.9,
NTCT,6,75.92,197.42,
HFXE,10,86.9,140.62,
IPE,5,150.11,107.54,
SHBI,4,78.49,161.87,
LVHB,1,82.73,115.94,
REGI,10,93.3,188.16,
TAK,5,97.51,130.76,
VALQ,5,94.71,164.52,
CATC,2,75.15,110.25,
WBK,9,168.93,137.66,
MIDU,2,75.49,138.58,
JBN,4,173.8,114.01,
ENS,8,86.74,189.12,
RIBT,5,168.57,156.13,
CATH,2,118.69,127.39,
AWRE,7,120.6,145.69,
EMCG,5,139.54,131.72,
EXPI,1,102.49,151.44,
SUNS,5,110.92,151.59,
MDYV,10,99.03,109.05,
AADR,8,165.04,109.54,
ESE,9,91.99,171.86,
SPI,10,159.57,147.12,
ZBIO,4,98.21,140.69,
RMD,8,162.24,147.9,
SKT,7,142.22,193.5,
UJPY,8,110.36,158.05,
MGTX,1,172.78,149.06,
FISV,7,163.25,148.5,
ESGD,8,100.44,136.05,
SNES,3,138.82,126.09,
IIJI,9,79.3,106.61,
PBBI,5,97.31,191.18,
GHII,7,167.96,177.91,
ORGO,8,94.75,128.67,
SPOT,10,148.93,159.42,
WSFS,1,148.81,158.3,
YNDX,8,143.93,156.09,
EEMV,6,154.01,144.34,
HVBC,6,115.68,133.3,
MAS,4,149.93,160.64,
MOS,3,93.71,128.46,
BAM,6,172.88,150.77,
EGIF,6,99.16,143.74,
NVR,7,129.66,127.01,
XRAY,7,108.05,100.95,
DLNG,9,79.95,174.76,
SDCI,9,136.94,107.21,
MDU,10,142.99,186.22,
NVAX,6,161.07,126.9,
SE,7,115.2,101.83,
TTAC,1,158.94,184.07,
EIG,8,109.3,145.47,
FINU,7,114.35,169.63,
DPHCW,3,160.84,187.81,
HMG,5,136,120.87,
ESRT,10,134.1,189.34,
OPOF,8,90.5,151.29,
NEXA,9,103,119.28,
FCAP,1,123.35,105.35,
FISK,3,140.53,145.55,
EMXC,9,154.84,129.5,
DCIX,6,161.13,127.32,
VC,5,81.71,166.67,
FILL,10,146.04,152.51,
CENT,2,100.9,177.03,
VGFO,9,93.19,136.13,
PACQU,3,87.28,151.64,
DTD,2,125.06,143.16,
FRO,3,112.58,191.51,
SCD,8,127,120.57,
IRCP,6,106.78,163.93,
ITIC,8,134.15,150.06,
MGF,10,106.99,120.29,
VDC,9,112.99,191.33,
FDLO,1,170.32,117.23,
TDE,6,85,198.94,
RSP,10,152.54,174.74,
BYSI,6,107.86,188.32,
AIMC,2,109.5,125.9,
LDUR,5,116.49,141.43,
NCR,2,169.04,173.21,
CLXT,5,78.13,195.89,
ONE,3,114.54,191.4,
AQXP,3,117.63,192.91,
JHMT,8,136.75,188.23,
SCOM,4,132.9,198.23,
TROV,10,128.71,175.78,
TWNK,5,76.16,172.16,
LND,7,130.29,170.18,
ARLO,10,75.94,111.67,
EAST,3,105.67,105.72,
COMT,6,99.34,172.37,
UPV,5,143.06,111.92,
ECCB,8,170.6,154.55,
MOSC,9,89.48,116.3,
SRRA,3,152.63,174.2,
HIG,8,114.72,127.92,
SLB,8,151.56,192.6,
IBMM,6,140.25,147.9,
PATK,4,154.84,148.84,
HMOP,2,174.38,143.03,
CARA,6,167.13,167.37,
FLQG,3,119.3,135.44,
HSKA,5,162.87,194.56,
KDMN,10,162.87,109.04,
METC,2,87.59,150.19,
SKX,3,137.59,189.92,
HMLP,7,126.88,130,
FNF,7,88.34,195.25,
HQH,7,83.49,138.61,
LXU,3,90.32,137.99,
CCNI,7,102.87,193.65,
FLIC,6,87.8,137.95,
ACSI,10,148.16,189.34,
VIRT,9,163.08,177.21,
ASYS,5,94.29,153.33,
CIX,5,163.23,115.92,
FLRU,7,160.09,131.32,
IYY,7,113.08,108.18,
RWW,5,150.44,116.68,
BSAC,8,163.69,132,
VBTX,8,119.97,123.4,
COWNL,5,143.62,199.72,
RODI,10,166.24,172.88,
PRNT,4,83.42,160.96,
FLBR,7,173.16,143.78,
THO,10,113.1,132.01,
RMTI,4,106.48,117.11,
INTL,7,166.35,155.19,
MHH,5,148.51,194.15,
RDI,5,169.28,146.36,
REDU,8,91.57,154.85,
TRMK,10,107.51,123.48,
PSCE,2,124.92,178.24,
DJP,2,131.67,150.18,
CFFI,1,115.64,111.86,
PID,9,116.45,149.97,
GNE,10,133.19,144.97,
SDEM,3,144.77,136.32,
HUNTW,2,164.53,173.35,
DMRC,10,100.98,167.64,
NRCG,8,96.47,147.73,
BFO,4,115.36,143.77,
UUUU,4,97.49,193.69,
CLX,8,152.5,150.37,
NIE,8,132,154.53,
TGE,4,118.8,195.98,
ACWX,3,174.1,154.17,
DVY,1,173.54,123.94,
PRTO,5,128.18,177,
MER,1,76.97,102.98,
IMACW,7,135.64,187.97,
WYNN,10,112.69,191.85,
EEV,7,113.22,114.34,
CIBR,9,155.51,191.84,
MOH,8,111.5,112.37,
CWST,1,115.84,156.17,
RBA,9,133.66,118.79,
NYMTN,9,96.46,117.34,
ENX,5,159.11,170.52,
GPS,5,158.63,136.01,
